/home/datadons/.local/lib/python3.8/site-packages/gensim/similarities/__init__.py:15: UserWarning: The gensim.similarities.levenshtein submodule is disabled, because the optional Levenshtein package <https://pypi.org/project/python-Levenshtein/> is unavailable. Install Levenhstein (e.g. `pip install python-Levenshtein`) to suppress this warning.
  warnings.warn(msg)
Vector rep. of file: sets_wrapper/wrapper/nopattern/coco_utils.py 1 in  0.0 min and 1.4053876399993896 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/apt_invalid_operation.py 1 in  0.0 min and 0.15654873847961426 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/_io_kqueue.py 1 in  0.0 min and 0.5551955699920654 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/check_colors.py 1 in  0.0 min and 0.1678459644317627 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/configuration.py 1 in  0.0 min and 0.8801877498626709 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/_write_text.py 1 in  0.0 min and 1.0296790599822998 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/debug.py 1 in  0.0 min and 0.06040644645690918 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/_checkpoints.py 1 in  0.0 min and 0.07514691352844238 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/colored-completions-with-formatted-text.py 1 in  0.0 min and 0.16384482383728027 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/crypto_shorthash.py 1 in  0.0 min and 0.15276217460632324 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/completion.py 1 in  0.0 min and 0.2932100296020508 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/_highlevel_open_unix_stream.py 1 in  0.0 min and 0.06440138816833496 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/convertToWav.py 1 in  0.0 min and 0.13210129737854004 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/cloudwatch.py 1 in  0.0 min and 0.5274593830108643 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/driver_context.py 1 in  0.0 min and 0.12116599082946777 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/example.py 1 in  0.0 min and 0.07029414176940918 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/abstract_driver.py 1 in  0.0 min and 0.049825429916381836 sec.
Vector rep. of file: sets_wrapper/wrapper/nopattern/craft_utils.py 1 in  0.0 min and 2.1268818378448486 sec.
